作曲者,曲名,分数,提出者からのコメント,フルート,オーボエ,クラリネット,ファゴット,ホルン,トランペット,トロンボーン,チューバ,打楽器,ハープ,弦,その他,備考
ムソルグスキー,禿山の一夜（原典版）,13,騒がしくて楽しくてゴリゴリやれるので虹パワーを出せるのではないでしょうか。,2/1,2,2,2,4,2,3,1,"Timp, B.D, S.D, Cym, Trg, Tamtam, Tambourine",-,弦五部,,提出されたのがどっちを指しているかわからなかったので2曲とも入れました
ムソルグスキー（リムスキー=コルサコフ編）,禿山の一夜,11,騒がしくて楽しくてゴリゴリやれるので虹パワーを出せるのではないでしょうか。,2/1,2,2,2,4,2,3,1,"Timp, B.D, Cym, Tamtam, Bell",1,弦五部,,提出されたのがどっちを指しているかわからなかったので2曲とも入れました
メンデルスゾーン,交響曲第3番「スコットランド」,36,,2,2,2,2,4,2,-,-,Timpani,-,弦五部,,
モーツァルト,交響曲第40番,23,,1,2,2,2,2,-,-,-,-,-,弦五部,,クラリネットは第2版のみ存在（基本そっちでやるはず）
ラヴェル,ピアノ協奏曲 ト長調,22,フランスものに組み合わせて,2(1),2(1),1/Es1,2,2,1,1,-,"Timp, Trg, Cym, B.D, S.D, Tamtam, WoodBlock, Whip",1,弦五部（8-8-6-6-4）,Piano(Solo),
ラフマニノフ,ジプシーの主題による奇想曲,16,虹オケにぴったりのエキゾチックで賑やかな曲です。難易度的な歯応えもちょうど良いかと。,2/1,2,2,2,4,2,3,1,"Timp, Trg,B.D, S.D, Cym, Tambourine",1,弦五部,,
ラフマニノフ,シンフォニックダンス,37,編成的に虹おけにぴったり🌈,2/1,2/1,2/1,2/1,4,3,3,1,"Timp, Trg, B.D, S.D, Tambourine, Cym, Tamtam, T.Bells3, Xylo, Glock",1,弦五部,Piano,
ラフマニノフ,ピアノ協奏曲第2番,32,ここらでコンチェルトどうですか！？虹オケのラフマニノフはノリ的にも(?)良いと思う！そして以前共演した増田さんを是非またお呼びしたい！！！増田さんとっっても素敵で良かったので！😭✨ ラフマニノフのシンフォニックダンスと組み合わせたい！,2,2,2,2,4,2,3,1,"Timp, B.D, Cym",-,弦五部,Piano(Solo),
ラフマニノフ,交響曲第3番,41,ガーシュイン、バーンスタイン＋アメリカで書かれた曲でアメリカプログラムができそうだなと思いました。いずれの曲もどのセクションもやりがいある内容だと思います。様々な文化を受け入れ発展してきた古き良きアメリカが感じられるプログラムになるかもしれません。,2/1,2/1,2/1,2/1,4,2/alto1,3,1,"Timp, Trg, S.D, Cym, B.D, Tamtam, xylo.",1,弦五部,Cel.,
リスト,前奏曲,16,,3(1),2,2,2,4,2,3,1,"Timp, B.D, S.D, Cym,",1,弦五部,,
リムスキー＝コルサコフ,交響組曲『シェヘラザード』,46,個人的にいつかやりたい曲,2(1)/1,2(1),2,2,4,2,3,1,"Timp, B.D, S.D, Cym, Trg, Tambourine, Tamtam",1,弦五部,,コンマスのソロが多い
ワーグナー,『タンホイザー』序曲,22,,3(1),2,2/1,2,4,3,3,1,"Timp, B.D, Cym, Trg, Tambourine, Cast,",1,弦五部(16-16-12-12-8),,
ワーグナー,『マイスタージンガー』第一幕への前奏曲,9,←地味に虹でやったことない,2/1,2,2,2,4,3,3,1,"Timp, Trg, Cym.",1,弦五部,,
ワーグナー,『リエンツィ』序曲,12,,2/1,2,2,2/1,4,4,3,1,"Timp, B.D, S.D, T.D, Trg, Cym",-,弦五部,,ContraFg.はのSerpentの代用
伊福部昭,SF交響ファンタジー第1番,15,日本人作曲家をやりたい。お客さんも呼びやすいと思う。,2/1,2/1,2/1,2/1,4,3,3,1,"Timp, B.D, S.D2, Cym, Tamtam, Tomtom, Conga",2,弦五部,Piano,
伊福部昭,SF交響ファンタジー第3番,13,ゴジラ-0.0が公開決定したので、今こそ伊福部昭をやるしかない。アンコール曲として伊福部昭 /吉志舞 ←吹奏楽曲？,2/1,2/1,2/1,2/1,4,3,3,1,"Timp, B.D, S.D, Cym, Tamtam, Tomtom, Conga, ",1,弦五部,Piano,
伊福部昭,シンフォニア・タプカーラ,28,虹オケっぽいじゃん！！！(?) 管弦楽のためのラプソディとか…？ 日本人プロやりたいですね,2/1,2/1,2/1,2/1,4,3,3,1,"Timp, S.D, Tomtom, Guiro, Timbales",1,弦五部,,
芥川也寸志,交響三章,24,日本人作曲家をやりたい。,2,2,2,2,4,2,2,-,"Timp, B.D, S.D,",-,弦五部,Piano,
外山雄三,管弦楽のためのラプソディ,7,シンフォニア・タプカーラとの組み合わせで,2(1)/1,2,2(Es1),2,4,3,3,1,"Timp, B.D, WoodBlock, Bongo, 拍子木, きん, ウチワ太鼓, 締太鼓, チャンチキ, 鈴",1,弦五部,,
