作曲者,曲名,分数,提出者からのコメント,フルート,オーボエ,クラリネット,ファゴット,ホルン,トランペット,トロンボーン,チューバ,打楽器,ハープ,弦,その他,備考
ドヴォルザーク,交響曲第8番,38,たのしい,2/1,2/1,2,2,4,2,3,1,"Timp,",-,弦五部,,
ニールセン,交響曲第2番,30,,3(1),2(1),2,2,4,3,3,1,Timpani,-,弦五部,,
バルトーク,管弦楽のための協奏曲,37,"編成が虹オケにぴったり🌈
ドボ◯とかいいかも（組み合わせ）

ガーシュイン、バーンスタイン＋アメリカで書かれた曲でアメリカプログラムができそうだなと思いました。いずれの曲もどのセクションもやりがいある内容だと思います。様々な文化を受け入れ発展してきた古き良きアメリカが感じられるプログラムになるかもしれません。",3(1),3(1),3(1),3(1),4,3,3,1,"Timp, B.D, S.D, Cym, Trg, Tamtam",2,弦五部,,
ブラームス,交響曲第2番,39,"いい曲
メインでは採用しづらい編成ですが、サブに取り上げて2プロにするのはどうでしょうか",2,2,2,2,4,2,3,1,"Timp,",-,弦五部,,
ブラームス,交響曲第3番,40,いい曲,2,2,2,2/1,4,2,3,-,Timpani,-,弦五部,,
ブラームス,交響曲第4番,41,いい曲,2(1),2,2,2/1,4,2,3,-,"Timp, Trg,",-,弦五部,,
ブルックナー,交響曲第7番,64,ワーグナーチューバはアテがあります。ブルックナーダブルシンフォニーで客をビビらせよう,2,2,2,2,4/T.Tuba4,3,3,1,"Timp, (Cym, Trg)",-,弦五部,,
ブルックナー,交響曲第8番,88,ワーグナーチューバはアテがあります。ブルックナーダブルシンフォニーで客をビビらせよう,3(1),3,3,3(1),8(T.Tuba4),3,3,1,"Timp, Cym, Trg,",3(Unison),弦五部,,
ブルックナー,交響曲第9番,59,ワーグナーチューバはアテがあります。ブルックナーダブルシンフォニーで客をビビらせよう,3,3,3,3,8(T.Tuba4),3,3,1,Timpani,-,弦五部,,
プロコフィエフ,『ロメオとジュリエット』組曲より抜粋,78,バーンスタイン/ウエストサイドストーリーと組み合わせて,2/1,2/1,2/1,2/1,4,2/1,3,1,"Timp, B.D, S.D, Trg, Cym, Tambourine, Xylo, Glock, Maracas",1,弦五部,"T.Sax, Piano, Cel. Viola d’amore",音源、ダイジェスト、IMSLPリンクは第2組曲のもの、編成は第1~3組曲
プロコフィエフ,交響曲第5番,44,挑戦的なプログラムになりそう,2/1,2/1,2/1/1,2/1,4,3,3,1,"Timp, B.D, S.D, Cym, Trg, Tambourine, Tam-tam. WoodBlock",1,弦五部,Piano,
ベートーヴェン,交響曲第7番,38,虹オケにできるベートーヴェンはこれくらいしかない,2,2,2,2,2,2,-,-,Timpani,-,弦五部,,
マーラー,交響曲第4番,55,女性独唱が必要だけどとにかく美しい。「虹」と相性良さそうな曲,4(2),3(1),3(1/1),3(1),4,3,-,-,"Timp, B.D, Cym, Trg, Tam-tam, Glock, SleighBells",1,弦五部,Sop.,コンマスは2楽章でA-E-B-Fis調弦に変える（別楽器用意するのが定番）
マーラー,交響曲第5番,70,,4(4),3(1),3(1/1),3(1),6,4,3,1,"Timp, Cym, B.D, S.D, Trg, Tamtam, Whip, Glock",1,弦五部,,
マーラー,交響曲第6番「悲劇的」,84,チューバに大ソロがあるのは言わずもがな、虹の弦でやってみたい。組み合わせたい曲はなし。潔くアルマへの愛を語れ。,4(2)/1,4(2)/1,4(Es1)/1,4/1,8,6,4,1,"Timp, B.D, S.D, Trg, Cym, Tambourine, Tamtam, Xylophone, Switch, Hammer",2,弦五部,Cel. off-stage Bells2~. off-stage Cowbells2~,
マーラー,交響曲第7番,82,成せばなる,4(1)/1,3/1,3/1/1,3/1,4/T.Hr1,3,3,1,"Timp, B.D, S.D, Cym, Trg, Tamtam, Tambourine, Bells, Glock, Cowbells, Rute",2,弦五部,"Mandolin, Guitar",
マーラー,交響曲第9番,84,成せばなる,4/1,4(1),3/1/1,4(1),4,3,3,1,"Timp, B.D, S.D, Cym, Trg, Tamtam, Bells3, Glock,",2,弦五部,,
メンデルスゾーン,交響曲第3番「スコットランド」,36,,2,2,2,2,4,2,-,-,Timpani,-,弦五部,,
モーツァルト,交響曲第40番,23,,1,2,2,2,2,-,-,-,-,-,弦五部,,クラリネットは第2版のみ存在（基本そっちでやるはず）
ラフマニノフ,シンフォニックダンス,37,編成的に虹おけにぴったり🌈,2/1,2/1,2/1,2/1,4,3,3,1,"Timp, Trg, B.D, S.D, Tambourine, Cym, Tamtam, T.Bells3, Xylo, Glock",1,弦五部,Piano,
ラフマニノフ,交響曲第3番,41,ガーシュイン、バーンスタイン＋アメリカで書かれた曲でアメリカプログラムができそうだなと思いました。いずれの曲もどのセクションもやりがいある内容だと思います。様々な文化を受け入れ発展してきた古き良きアメリカが感じられるプログラムになるかもしれません。,2/1,2/1,2/1,2/1,4,2/alto1,3,1,"Timp, Trg, S.D, Cym, B.D, Tamtam, xylo.",1,弦五部,Cel.,
リムスキー＝コルサコフ,交響組曲『シェヘラザード』,46,個人的にいつかやりたい曲,2(1)/1,2(1),2,2,4,2,3,1,"Timp, B.D, S.D, Cym, Trg, Tambourine, Tamtam",1,弦五部,,コンマスのソロが多い
芥川也寸志,交響三章,24,日本人作曲家をやりたい。,2,2,2,2,4,2,2,-,"Timp, B.D, S.D,",-,弦五部,Piano,
